Name,Link,Layer,Arch,Open,City,Mature,Integ,Gov,Viz,DM,Sim,IoT,Std,Infra,Model,Date
DTCC,https://dtcc.chalmers.se,core-platform,4,5,4,3,3,4,3,4,3,2,4,3,GPT-5.2 Thinking,2026-04-14
Virtual Singapore,https://www.nrf.gov.sg/programmes/virtual-singapore,core-platform,4,1,5,5,2,2,5,4,4,3,3,4,GPT-5.2 Thinking,2026-04-14
Bentley iTwin Platform,https://www.bentley.com/software/itwin-platform/,backbone,4,2,4,5,4,2,4,4,3,3,4,5,GPT-5.2 Thinking,2026-04-14
Esri ArcGIS Urban,https://www.esri.com/en-us/arcgis/products/arcgis-urban/overview,core-platform,3,1,5,5,4,1,5,4,4,2,3,4,GPT-5.2 Thinking,2026-04-14
Siemens Xcelerator / City Twin,https://xcelerator.siemens.com,core-platform,4,2,5,4,4,2,4,4,5,4,4,4,GPT-5.2 Thinking,2026-04-14
Cityzenith SmartWorldPro,https://www.cityzenith.com,core-platform,3,1,5,3,3,1,5,4,4,4,2,3,GPT-5.2 Thinking,2026-04-14
Replica,https://replicahq.com,domain-module,3,1,4,4,3,2,3,3,5,3,2,2,GPT-5.2 Thinking,2026-04-14
Cityflows / Urban Simulation Platform (Ito World),https://www.itoworld.com,domain-module,3,1,3,4,3,2,2,3,2,3,2,2,GPT-5.2 Thinking,2026-04-14
Autodesk Tandem,https://tandem.autodesk.com,backbone,3,1,2,4,4,2,3,4,2,3,3,5,GPT-5.2 Thinking,2026-04-14
Mobility Data Specification (MDS) / UrbanOS,https://github.com/smartcitiesdata/smartcitiesdata,backbone,5,5,4,3,4,4,2,4,2,4,4,2,GPT-5.2 Thinking,2026-04-14
FIWARE Orion Context Broker,https://fiware-orion.readthedocs.io,backbone,4,5,3,5,5,4,1,5,1,5,4,1,GPT-5.2 Thinking,2026-04-14
3DCityDB,https://www.3dcitydb.org,backbone,5,5,4,5,4,4,2,5,1,2,5,3,GPT-5.2 Thinking,2026-04-14
Cesium,https://cesium.com,backbone,4,4,3,5,4,3,5,2,1,1,4,2,GPT-5.2 Thinking,2026-04-14
Eclipse Ditto,https://www.eclipse.org/ditto/,backbone,4,4,2,4,5,4,1,5,1,5,3,1,GPT-5.2 Thinking,2026-04-14
Eclipse MOSAIC,https://eclipse.dev/mosaic/,domain-module,4,4,3,3,4,4,1,3,5,2,3,2,GPT-5.2 Thinking,2026-04-14
OGC SensorThings API,https://www.ogc.org/standard/sensorthings/,backbone,4,5,2,5,5,5,1,3,1,5,5,1,GPT-5.2 Thinking,2026-04-14
OpenDRIVE / ASAM standards ecosystem,https://www.asam.net/standards/detail/opendrive/,backbone,3,4,2,4,4,3,1,2,4,3,5,2,GPT-5.2 Thinking,2026-04-14
SUMO (Simulation of Urban MObility),https://eclipse.dev/sumo/,domain-module,3,5,3,5,4,4,2,2,5,3,3,1,GPT-5.2 Thinking,2026-04-14
GeoServer / GeoNetwork,https://geoserver.org,backbone,4,4,3,5,5,4,2,5,1,1,5,2,GPT-5.2 Thinking,2026-04-14
AWS IoT TwinMaker,https://aws.amazon.com/iot-twinmaker/,backbone,3,1,2,4,4,1,3,4,2,5,2,3,GPT-5.2 Thinking,2026-04-14
Azure Digital Twins,https://azure.microsoft.com/en-us/products/digital-twins,backbone,3,1,2,4,5,1,2,5,2,5,3,2,GPT-5.2 Thinking,2026-04-14
NVIDIA Omniverse,https://www.nvidia.com/en-us/omniverse/,backbone,4,2,3,4,4,2,5,3,5,3,3,3,GPT-5.2 Thinking,2026-04-14
Unreal Engine (with City Sample / Houdini),https://www.unrealengine.com,backbone,3,2,3,5,4,2,5,2,3,2,2,2,GPT-5.2 Thinking,2026-04-14
Mapbox,https://www.mapbox.com,backbone,3,2,2,5,4,2,4,2,1,1,2,1,GPT-5.2 Thinking,2026-04-14
ThingsBoard,https://thingsboard.io,backbone,3,4,1,4,4,3,2,4,1,5,2,1,GPT-5.2 Thinking,2026-04-14
